year,ruler_person_id,ruler_name_ru,ruler_age,ruler_political_age,ruler_elite_age,ruler_ruling_circle_age,ruler_office_age,core_elite_count,core_mean_age,core_median_age,core_weighted_mean_age,core_mean_political_age,core_mean_elite_age,core_share_60_plus,core_share_70_plus,core_age_std,renewal_5y,events_count,max_event_severity,event_types,event_names
1801,alexander_i,Александр I,23.52,0.27,0.27,0.27,0.27,2,31.85,31.85,27.84,0.39,0.39,0.0,0.0,8.33,1.0,0,0,,
1802,alexander_i,Александр I,24.52,1.27,1.27,1.27,1.27,2,32.85,32.85,28.84,1.38,1.38,0.0,0.0,8.33,1.0,0,0,,
1803,alexander_i,Александр I,25.52,2.27,2.27,2.27,2.27,2,30.06,30.06,28.34,3.88,1.52,0.0,0.0,4.54,1.0,0,0,,
1804,alexander_i,Александр I,26.52,3.27,3.27,3.27,3.27,3,32.19,34.46,30.45,4.42,1.85,0.0,0.0,4.04,1.0,0,0,,
1805,alexander_i,Александр I,27.52,4.27,4.27,4.27,4.27,3,33.19,35.46,31.45,5.42,2.85,0.0,0.0,4.04,1.0,0,0,,
1806,alexander_i,Александр I,28.52,5.27,5.27,5.27,5.27,2,33.06,33.06,31.34,6.88,4.52,0.0,0.0,4.54,0.5,0,0,,
1807,alexander_i,Александр I,29.52,6.27,6.27,6.27,6.27,2,34.06,34.06,32.34,7.88,5.53,0.0,0.0,4.54,0.5,0,0,,
1808,alexander_i,Александр I,30.52,7.27,7.27,7.27,7.27,2,33.49,33.49,32.63,7.38,3.88,0.0,0.0,2.97,0.5,0,0,,
1809,alexander_i,Александр I,31.52,8.27,8.27,8.27,8.27,2,34.49,34.49,33.63,8.38,4.88,0.0,0.0,2.97,0.5,0,0,,
1810,alexander_i,Александр I,32.52,9.27,9.27,9.27,9.27,3,39.83,38.46,38.01,13.75,4.07,0.0,0.0,6.6,0.667,0,0,,
1811,alexander_i,Александр I,33.52,10.27,10.27,10.27,10.27,3,40.83,39.46,39.01,14.75,5.07,0.0,0.0,6.6,0.667,0,0,,
1812,alexander_i,Александр I,34.52,11.27,11.27,11.27,11.27,2,42.52,42.52,39.85,17.88,6.85,0.0,0.0,7.99,0.5,1,5,war,Отечественная война 1812 года
1813,alexander_i,Александр I,35.52,12.27,12.27,12.27,12.27,1,35.52,35.52,35.52,12.27,12.27,0.0,0.0,0.0,0.0,0,0,,
1814,alexander_i,Александр I,36.52,13.27,13.27,13.27,13.27,1,36.52,36.52,36.52,13.27,13.27,0.0,0.0,0.0,0.0,0,0,,
1815,alexander_i,Александр I,37.52,14.27,14.27,14.27,14.27,2,41.63,41.63,40.44,16.88,10.88,0.0,0.0,4.11,0.0,0,0,,
1816,alexander_i,Александр I,38.52,15.27,15.27,15.27,15.27,2,42.63,42.63,41.44,17.88,11.88,0.0,0.0,4.11,0.0,0,0,,
1817,alexander_i,Александр I,39.52,16.27,16.27,16.27,16.27,3,41.27,39.52,41.0,18.09,8.89,0.0,0.0,4.74,0.333,0,0,,
1818,alexander_i,Александр I,40.52,17.27,17.27,17.27,17.27,3,42.27,40.52,42.0,19.09,9.89,0.0,0.0,4.74,0.333,0,0,,
1819,alexander_i,Александр I,41.52,18.27,18.27,18.27,18.27,3,43.27,41.52,43.0,20.08,10.89,0.0,0.0,4.74,0.333,0,0,,
1820,alexander_i,Александр I,42.52,19.27,19.27,19.27,19.27,4,46.1,46.63,45.37,21.44,13.36,0.0,0.0,5.19,0.25,0,0,,
1821,alexander_i,Александр I,43.52,20.27,20.27,20.27,20.27,4,47.1,47.63,46.37,22.44,14.36,0.0,0.0,5.19,0.25,0,0,,
1822,alexander_i,Александр I,44.52,21.27,21.27,21.27,21.27,4,48.1,48.63,47.37,23.44,15.36,0.0,0.0,5.19,0.0,0,0,,
1823,alexander_i,Александр I,45.52,22.27,22.27,22.27,22.27,4,47.6,47.06,47.31,20.68,11.21,0.0,0.0,4.14,0.25,0,0,,
1824,alexander_i,Александр I,46.52,23.27,23.27,23.27,23.27,4,48.6,48.06,48.31,21.69,12.21,0.0,0.0,4.14,0.25,0,0,,
1825,alexander_i,Александр I,47.52,24.27,24.27,24.27,24.27,4,49.6,49.06,49.31,22.69,13.21,0.0,0.0,4.14,0.25,1,4,revolt,Восстание декабристов
1826,nicholas_i,Николай I,29.98,0.58,0.58,0.58,0.58,3,42.37,45.54,39.27,13.19,4.55,0.0,0.0,9.1,0.667,0,0,,
1827,nicholas_i,Николай I,30.98,1.58,1.58,1.58,1.58,4,44.02,46.27,41.42,18.01,4.4,0.0,0.0,7.96,0.75,0,0,,
1828,nicholas_i,Николай I,31.98,2.58,2.58,2.58,2.58,4,45.02,47.27,42.42,19.02,5.4,0.0,0.0,7.96,0.5,0,0,,
1829,nicholas_i,Николай I,32.98,3.58,3.58,3.58,3.58,4,46.02,48.27,43.42,20.02,6.4,0.0,0.0,7.96,0.5,0,0,,
1830,nicholas_i,Николай I,33.98,4.58,4.58,4.58,4.58,4,47.02,49.27,44.42,21.02,7.4,0.0,0.0,7.96,0.5,0,0,,
1831,nicholas_i,Николай I,34.98,5.58,5.58,5.58,5.58,4,48.02,50.27,45.42,22.01,8.4,0.0,0.0,7.96,0.25,0,0,,
1832,nicholas_i,Николай I,35.98,6.58,6.58,6.58,6.58,4,49.02,51.27,46.42,23.02,9.4,0.0,0.0,7.96,0.0,0,0,,
1833,nicholas_i,Николай I,36.98,7.58,7.58,7.58,7.58,5,49.38,51.99,47.34,23.71,8.38,0.0,0.0,7.24,0.2,0,0,,
1834,nicholas_i,Николай I,37.98,8.58,8.58,8.58,8.58,5,50.38,52.99,48.34,24.71,9.38,0.0,0.0,7.24,0.2,0,0,,
1835,nicholas_i,Николай I,38.98,9.58,9.58,9.58,9.58,5,51.38,53.99,49.34,25.71,10.38,0.2,0.0,7.24,0.2,0,0,,
1836,nicholas_i,Николай I,39.98,10.58,10.58,10.58,10.58,5,52.38,54.99,50.34,26.71,11.38,0.2,0.0,7.24,0.2,0,0,,
1837,nicholas_i,Николай I,40.98,11.58,11.58,11.58,11.58,5,53.38,55.99,51.34,27.71,12.38,0.2,0.0,7.24,0.2,0,0,,
1838,nicholas_i,Николай I,41.98,12.58,12.58,12.58,12.58,5,54.38,56.99,52.34,28.71,13.38,0.2,0.0,7.24,0.0,0,0,,
