year,fragmentation_index,dominant_faction_id,dominant_faction_share,factions_count
1801,0.3161,imp_dynastic_court,0.8032,2
1802,0.3161,imp_dynastic_court,0.8032,2
1803,0.3502,imp_dynastic_court,0.7737,2
1804,0.3502,imp_dynastic_court,0.7737,2
1805,0.3502,imp_dynastic_court,0.7737,2
1806,0.3502,imp_dynastic_court,0.7737,2
1807,0.3502,imp_dynastic_court,0.7737,2
1808,0.4508,imp_dynastic_court,0.6568,2
1809,0.4508,imp_dynastic_court,0.6568,2
1810,0.4508,imp_dynastic_court,0.6568,2
1811,0.4508,imp_dynastic_court,0.6568,2
1812,0.0,imp_dynastic_court,1.0,1
1813,0.0,imp_dynastic_court,1.0,1
1814,0.0,imp_dynastic_court,1.0,1
1815,0.7129,imp_dynastic_court,0.4162,4
1816,0.7129,imp_dynastic_court,0.4162,4
1817,0.7726,imp_dynastic_court,0.3475,5
1818,0.7726,imp_dynastic_court,0.3475,5
1819,0.7726,imp_dynastic_court,0.3475,5
1820,0.8041,imp_dynastic_court,0.3155,6
1821,0.8041,imp_dynastic_court,0.3155,6
1822,0.8041,imp_dynastic_court,0.3155,6
1823,0.814,imp_dynastic_court,0.2719,6
1824,0.814,imp_dynastic_court,0.2719,6
1825,0.814,imp_dynastic_court,0.2719,6
1826,0.7004,imp_dynastic_court,0.4396,4
1827,0.801,imp_dynastic_court,0.3252,6
1828,0.801,imp_dynastic_court,0.3252,6
1829,0.801,imp_dynastic_court,0.3252,6
1830,0.801,imp_dynastic_court,0.3252,6
1831,0.801,imp_dynastic_court,0.3252,6
1832,0.801,imp_dynastic_court,0.3252,6
1833,0.801,imp_dynastic_court,0.3252,6
1834,0.801,imp_dynastic_court,0.3252,6
1835,0.801,imp_dynastic_court,0.3252,6
1836,0.801,imp_dynastic_court,0.3252,6
1837,0.801,imp_dynastic_court,0.3252,6
1838,0.801,imp_dynastic_court,0.3252,6
1839,0.801,imp_dynastic_court,0.3252,6
1840,0.801,imp_dynastic_court,0.3252,6
1841,0.801,imp_dynastic_court,0.3252,6
1842,0.801,imp_dynastic_court,0.3252,6
1843,0.801,imp_dynastic_court,0.3252,6
1844,0.6991,imp_dynastic_court,0.4396,4
1845,0.4366,imp_dynastic_court,0.678,2
1846,0.4366,imp_dynastic_court,0.678,2
1847,0.4366,imp_dynastic_court,0.678,2
1848,0.4366,imp_dynastic_court,0.678,2
