year,faction_type,total_power,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,factions_count
1801,court_dynastic,1.0,0.8032,23.52,23.52,0.27,0.27,1
1801,bureaucratic_ideological,0.245,0.1968,40.18,40.18,0.5,0.5,1
1802,court_dynastic,1.0,0.8032,24.52,24.52,1.27,1.27,1
1802,bureaucratic_ideological,0.245,0.1968,41.18,41.18,1.49,1.49,1
1803,court_dynastic,1.0,0.7737,25.52,25.52,2.27,2.27,1
1803,bureaucratic_ideological,0.2925,0.2263,34.6,34.6,5.49,5.49,1
1804,court_dynastic,1.0,0.7737,26.52,26.52,3.27,3.27,1
1804,bureaucratic_ideological,0.2925,0.2263,35.6,35.6,6.49,6.49,1
1805,court_dynastic,1.0,0.7737,27.52,27.52,4.27,4.27,1
1805,bureaucratic_ideological,0.2925,0.2263,36.6,36.6,7.49,7.49,1
1806,court_dynastic,1.0,0.7737,28.52,28.52,5.27,5.27,1
1806,bureaucratic_ideological,0.2925,0.2263,37.6,37.6,8.49,8.49,1
1807,court_dynastic,1.0,0.7737,29.52,29.52,6.27,6.27,1
1807,bureaucratic_ideological,0.2925,0.2263,38.6,38.6,9.49,9.49,1
1808,court_dynastic,1.0,0.6568,30.52,30.52,7.27,7.27,1
1808,bureaucratic_ideological,0.5225,0.3432,36.47,36.47,7.5,7.5,1
1809,court_dynastic,1.0,0.6568,31.52,31.52,8.27,8.27,1
1809,bureaucratic_ideological,0.5225,0.3432,37.47,37.47,8.5,8.5,1
1810,court_dynastic,1.0,0.6568,32.52,32.52,9.27,9.27,1
1810,bureaucratic_ideological,0.5225,0.3432,38.46,38.46,9.5,9.5,1
1811,court_dynastic,1.0,0.6568,33.52,33.52,10.27,10.27,1
1811,bureaucratic_ideological,0.5225,0.3432,39.46,39.46,10.49,10.49,1
1812,court_dynastic,1.0,1.0,34.52,34.52,11.27,11.27,1
1813,court_dynastic,1.0,1.0,35.52,35.52,12.27,12.27,1
1814,court_dynastic,1.0,1.0,36.52,36.52,13.27,13.27,1
1815,court_dynastic,1.0,0.4162,37.52,37.52,14.27,14.27,1
1815,military_aristocratic,0.495,0.206,45.74,45.74,19.49,19.49,1
1815,personal_access,0.4675,0.1946,45.74,45.74,19.49,19.49,1
1815,bureaucratic_ideological,0.44,0.1831,45.74,45.74,19.49,19.49,1
1816,court_dynastic,1.0,0.4162,38.52,38.52,15.27,15.27,1
1816,military_aristocratic,0.495,0.206,46.74,46.74,20.5,20.5,1
1816,personal_access,0.4675,0.1946,46.74,46.74,20.5,20.5,1
1816,bureaucratic_ideological,0.44,0.1831,46.74,46.74,20.5,20.5,1
1817,court_dynastic,1.0,0.3475,39.52,39.52,16.27,16.27,1
1817,military_aristocratic,0.495,0.172,47.74,47.74,21.5,21.5,1
1817,functional,0.475,0.1651,36.54,36.54,16.5,16.5,1
1817,personal_access,0.4675,0.1625,47.74,47.74,21.5,21.5,1
1817,bureaucratic_ideological,0.44,0.1529,47.74,47.74,21.5,21.5,1
1818,court_dynastic,1.0,0.3475,40.52,40.52,17.27,17.27,1
1818,military_aristocratic,0.495,0.172,48.74,48.74,22.49,22.49,1
1818,functional,0.475,0.1651,37.54,37.54,17.5,17.5,1
1818,personal_access,0.4675,0.1625,48.74,48.74,22.49,22.49,1
1818,bureaucratic_ideological,0.44,0.1529,48.74,48.74,22.49,22.49,1
1819,court_dynastic,1.0,0.3475,41.52,41.52,18.27,18.27,1
1819,military_aristocratic,0.495,0.172,49.74,49.74,23.49,23.49,1
1819,functional,0.475,0.1651,38.54,38.54,18.49,18.49,1
1819,personal_access,0.4675,0.1625,49.74,49.74,23.49,23.49,1
1819,bureaucratic_ideological,0.44,0.1529,49.74,49.74,23.49,23.49,1
1820,court_dynastic,1.0,0.3155,42.52,42.52,19.27,19.27,1
1820,bureaucratic_ideological,0.7325,0.2311,51.17,51.08,23.49,23.7,2
1820,military_aristocratic,0.495,0.1562,50.74,50.74,24.5,24.5,1
1820,functional,0.475,0.1498,39.54,39.54,19.5,19.5,1
1820,personal_access,0.4675,0.1475,50.74,50.74,24.5,24.5,1
