year,faction_id,faction_name_ru,members_count,total_faction_power,raw_power_share,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,mean_elite_age,share_60_plus,share_70_plus
1801,imp_dynastic_court,Династический двор,1,1.0,0.7407,0.8032,23.52,23.52,0.27,0.27,0.27,0.0,0.0
1801,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.245,0.1815,0.1968,40.18,40.18,0.5,0.5,0.5,0.0,0.0
1802,imp_dynastic_court,Династический двор,1,1.0,0.7407,0.8032,24.52,24.52,1.27,1.27,1.27,0.0,0.0
1802,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.245,0.1815,0.1968,41.18,41.18,1.49,1.49,1.49,0.0,0.0
1803,imp_dynastic_court,Династический двор,1,1.0,0.6897,0.7737,25.52,25.52,2.27,2.27,2.27,0.0,0.0
1803,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.2925,0.2017,0.2263,34.6,34.6,5.49,5.49,0.78,0.0,0.0
1804,imp_dynastic_court,Династический двор,1,1.0,0.5405,0.7737,26.52,26.52,3.27,3.27,3.27,0.0,0.0
1804,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.2925,0.1581,0.2263,35.6,35.6,6.49,6.49,1.78,0.0,0.0
1805,imp_dynastic_court,Династический двор,1,1.0,0.5405,0.7737,27.52,27.52,4.27,4.27,4.27,0.0,0.0
1805,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.2925,0.1581,0.2263,36.6,36.6,7.49,7.49,2.78,0.0,0.0
1806,imp_dynastic_court,Династический двор,1,1.0,0.6897,0.7737,28.52,28.52,5.27,5.27,5.27,0.0,0.0
1806,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.2925,0.2017,0.2263,37.6,37.6,8.49,8.49,3.78,0.0,0.0
1807,imp_dynastic_court,Династический двор,1,1.0,0.6897,0.7737,29.52,29.52,6.27,6.27,6.27,0.0,0.0
1807,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.2925,0.2017,0.2263,38.6,38.6,9.49,9.49,4.78,0.0,0.0
1808,imp_dynastic_court,Династический двор,1,1.0,0.6452,0.6568,30.52,30.52,7.27,7.27,7.27,0.0,0.0
