year,faction_type,total_power,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,factions_count
1945,institutional_network,0.665,1.0,63.48,63.48,5.5,5.5,1
1946,institutional_network,1.3775,1.0,60.46,60.32,3.5,3.4,2
1947,institutional_network,3.458,0.8622,57.84,57.61,8.11,10.33,4
1947,ideological_network,0.5525,0.1378,66.5,66.5,45.41,45.41,1
1948,institutional_network,3.458,0.8622,58.85,58.61,9.11,11.33,4
1948,ideological_network,0.5525,0.1378,67.5,67.5,46.41,46.41,1
1949,institutional_network,3.458,0.8622,58.31,57.35,6.25,6.63,4
1949,ideological_network,0.5525,0.1378,56.22,56.22,16.5,16.5,1
1950,institutional_network,3.458,0.8622,59.31,58.35,7.25,7.63,4
1950,ideological_network,0.5525,0.1378,57.22,57.22,17.5,17.5,1
1951,institutional_network,4.242,0.7322,57.64,57.15,5.79,6.1,5
1951,ideological_network,1.0725,0.185,51.38,51.59,9.49,9.77,2
1951,socioeconomic_network,0.48,0.0828,44.54,44.54,0.5,0.5,1
1952,institutional_network,4.242,0.7322,58.64,58.15,6.8,7.11,5
1952,ideological_network,1.0725,0.185,52.38,52.59,10.5,10.77,2
1952,socioeconomic_network,0.48,0.0828,45.54,45.54,1.5,1.5,1
1953,institutional_network,2.799,0.6432,61.7,61.05,17.5,16.41,4
1953,ideological_network,1.0725,0.2465,55.94,56.23,24.5,25.17,2
1953,socioeconomic_network,0.48,0.1103,46.54,46.54,2.5,2.5,1
1954,institutional_network,2.799,0.6432,62.41,61.75,16.75,15.62,4
1954,ideological_network,1.0725,0.2465,56.94,57.22,25.5,26.17,2
1954,socioeconomic_network,0.48,0.1103,47.54,47.54,3.5,3.5,1
1955,institutional_network,2.799,0.6432,63.41,62.75,17.75,16.62,4
1955,ideological_network,1.0725,0.2465,57.94,58.22,26.5,27.17,2
1955,socioeconomic_network,0.48,0.1103,48.54,48.54,4.5,4.5,1
1956,institutional_network,2.799,0.6432,64.41,63.76,18.75,17.63,4
1956,ideological_network,1.0725,0.2465,58.94,59.23,27.5,28.17,2
1956,socioeconomic_network,0.48,0.1103,49.54,49.54,5.5,5.5,1
1957,institutional_network,2.799,0.6432,65.41,64.76,19.75,18.63,4
1957,ideological_network,1.0725,0.2465,59.94,60.23,28.5,29.17,2
1957,socioeconomic_network,0.48,0.1103,50.54,50.54,6.5,6.5,1
1958,institutional_network,2.799,0.6432,66.41,65.76,20.75,19.62,4
1958,ideological_network,1.0725,0.2465,60.94,61.23,29.5,30.17,2
1958,socioeconomic_network,0.48,0.1103,51.54,51.54,7.5,7.5,1
1959,institutional_network,2.1615,0.6837,66.1,65.4,11.5,11.22,3
1959,ideological_network,0.52,0.1645,52.54,52.54,8.5,8.5,1
1959,socioeconomic_network,0.48,0.1518,52.54,52.54,8.5,8.5,1
1960,institutional_network,2.1615,0.6837,67.1,66.4,12.5,12.22,3
1960,ideological_network,0.52,0.1645,53.54,53.54,9.5,9.5,1
1960,socioeconomic_network,0.48,0.1518,53.54,53.54,9.5,9.5,1
1961,institutional_network,2.8265,0.7387,64.57,65.26,10.0,10.23,3
1961,ideological_network,0.52,0.1359,54.54,54.54,10.5,10.5,1
1961,socioeconomic_network,0.48,0.1254,54.54,54.54,10.5,10.5,1
1962,institutional_network,4.2695,0.8102,62.54,62.76,4.99,4.51,5
1962,ideological_network,0.52,0.0987,55.54,55.54,11.5,11.5,1
1962,socioeconomic_network,0.48,0.0911,55.54,55.54,11.5,11.5,1
1963,institutional_network,4.2695,0.8102,63.54,63.76,5.99,5.51,5
1963,ideological_network,0.52,0.0987,56.54,56.54,12.5,12.5,1
1963,socioeconomic_network,0.48,0.0911,56.54,56.54,12.5,12.5,1
1964,institutional_network,4.2695,0.8102,64.54,64.76,7.0,6.52,5
1964,ideological_network,0.52,0.0987,57.54,57.54,13.5,13.5,1
1964,socioeconomic_network,0.48,0.0911,57.54,57.54,13.5,13.5,1
1965,institutional_network,2.8265,0.7387,66.91,66.92,10.33,9.06,3
1965,ideological_network,0.52,0.1359,58.54,58.54,14.5,14.5,1
1965,socioeconomic_network,0.48,0.1254,58.54,58.54,14.5,14.5,1
1966,institutional_network,4.2695,0.8102,62.05,62.96,7.0,6.83,5
1966,ideological_network,0.52,0.0987,59.54,59.54,15.5,15.5,1
1966,socioeconomic_network,0.48,0.0911,59.54,59.54,15.5,15.5,1
1967,institutional_network,4.2695,0.8102,63.05,63.96,7.99,7.82,5
1967,ideological_network,0.52,0.0987,60.54,60.54,16.5,16.5,1
1967,socioeconomic_network,0.48,0.0911,60.54,60.54,16.5,16.5,1
1968,institutional_network,4.2695,0.8102,64.05,64.97,9.0,8.83,5
1968,ideological_network,0.52,0.0987,61.54,61.54,17.5,17.5,1
1968,socioeconomic_network,0.48,0.0911,61.54,61.54,17.5,17.5,1
1969,institutional_network,4.8845,0.7611,61.73,62.31,6.5,6.32,5
1969,party,0.533,0.0831,56.02,56.02,0.5,0.5,1
1969,ideological_network,0.52,0.081,62.54,62.54,18.5,18.5,1
1969,socioeconomic_network,0.48,0.0748,62.54,62.54,18.5,18.5,1
1970,institutional_network,4.8845,0.7611,63.26,63.73,3.7,4.26,5
1970,party,0.533,0.0831,57.02,57.02,1.49,1.49,1
1970,ideological_network,0.52,0.081,66.18,66.18,0.5,0.5,1
1970,socioeconomic_network,0.48,0.0748,66.18,66.18,0.5,0.5,1
1971,institutional_network,4.8845,0.7611,62.62,62.5,3.79,4.04,5
